source,target,IP,ad,val,id
61,99,106.74.156.36,update5.dota2.wmsj.cn.w.alikunlun.com,24,106.74.156.36-update5.dota2.wmsj.cn.w.alikunlun.com
61,100,106.74.156.36,update4.dota2.wmsj.cn.w.alikunlun.com,25,106.74.156.36-update4.dota2.wmsj.cn.w.alikunlun.com
61,101,106.74.156.36,streaming.youku.com.danuoyi.alicdn.com,38,106.74.156.36-streaming.youku.com.danuoyi.alicdn.com
61,102,106.74.156.36,static.youku.com.w.kunlunar.com,51,106.74.156.36-static.youku.com.w.kunlunar.com
61,103,106.74.156.36,static.tuchong.net.w.kunlunpi.com,43,106.74.156.36-static.tuchong.net.w.kunlunpi.com
61,104,106.74.156.36,static.fengkongcloud.com.w.kunlunca.com,34,106.74.156.36-static.fengkongcloud.com.w.kunlunca.com
61,105,106.74.156.36,static.atm.youku.com.danuoyi.tbcache.com,44,106.74.156.36-static.atm.youku.com.danuoyi.tbcache.com
61,106,106.74.156.36,ssl-other.mmbang.info.m.alikunlun.com,22,106.74.156.36-ssl-other.mmbang.info.m.alikunlun.com
61,107,106.74.156.36,sinaedge.w.kunlunno.com,49,106.74.156.36-sinaedge.w.kunlunno.com
61,108,106.74.156.36,sc.seeyouyima.com.w.kunlunhuf.com,47,106.74.156.36-sc.seeyouyima.com.w.kunlunhuf.com
61,109,106.74.156.36,s.wasu.cn.w.kunlunle.com,57,106.74.156.36-s.wasu.cn.w.kunlunle.com
61,110,106.74.156.36,promo.moji.com.w.kunlunpi.com,51,106.74.156.36-promo.moji.com.w.kunlunpi.com
61,111,106.74.156.36,a3.bytecdn.cn.w.alikunlun.com,45,106.74.156.36-a3.bytecdn.cn.w.alikunlun.com
61,112,106.74.156.36,activity.hdslb.com.w.kunlungr.com,46,106.74.156.36-activity.hdslb.com.w.kunlungr.com
61,113,106.74.156.36,acz.youku.com.danuoyi.tbcache.com,37,106.74.156.36-acz.youku.com.danuoyi.tbcache.com
61,114,106.74.156.36,alcdn.hls.xiaoka.tv.w.alikunlun.net,28,106.74.156.36-alcdn.hls.xiaoka.tv.w.alikunlun.net
61,115,106.74.156.36,alcdn.img.xiaoka.tv.w.alikunlun.net,54,106.74.156.36-alcdn.img.xiaoka.tv.w.alikunlun.net
61,116,106.74.156.36,ali-v4d.xiaoying.tv.w.kunlunea.com,48,106.74.156.36-ali-v4d.xiaoying.tv.w.kunlunea.com
61,117,106.74.156.36,ali2.a.yximgs.com.w.alikunlun.net,60,106.74.156.36-ali2.a.yximgs.com.w.alikunlun.net
61,118,106.74.156.36,alioscdn.miaopai.com.w.alikunlun.com,27,106.74.156.36-alioscdn.miaopai.com.w.alikunlun.com
61,119,106.74.156.36,aliqncdn.miaopai.com.w.kunlunea.com,31,106.74.156.36-aliqncdn.miaopai.com.w.kunlunea.com
61,120,106.74.156.36,all.bizport.cn.w.kunlunhuf.com,29,106.74.156.36-all.bizport.cn.w.kunlunhuf.com
61,121,106.74.156.36,all.wasu.cn.w.kunlunhuf.com,11,106.74.156.36-all.wasu.cn.w.kunlunhuf.com
61,122,106.74.156.36,api.qingting.fm.m.alikunlun.com,28,106.74.156.36-api.qingting.fm.m.alikunlun.com
61,123,106.74.156.36,api2.qingting.fm.m.alikunlun.com,30,106.74.156.36-api2.qingting.fm.m.alikunlun.com
61,124,106.74.156.36,apiontime.wasu.cn.w.kunlunle.com,46,106.74.156.36-apiontime.wasu.cn.w.kunlunle.com
61,125,106.74.156.36,app.2345.cn.w.kunlunca.com,30,106.74.156.36-app.2345.cn.w.kunlunca.com
61,126,106.74.156.36,bbsimg.res.flyme.cn.m.alikunlun.com,28,106.74.156.36-bbsimg.res.flyme.cn.m.alikunlun.com
61,127,106.74.156.36,browser.res.meizu.com.m.alikunlun.com,29,106.74.156.36-browser.res.meizu.com.m.alikunlun.com
61,128,106.74.156.36,cdn-cloudprint.cainiao.com.danuoyi.tbcache.com,41,106.74.156.36-cdn-cloudprint.cainiao.com.danuoyi.tbcache.com
61,129,106.74.156.36,cdn.ali.vcinema.com.cn.w.kunlunea.com,30,106.74.156.36-cdn.ali.vcinema.com.cn.w.kunlunea.com
61,130,106.74.156.36,cdnaliyunv.zhongye.net.m.alikunlun.com,20,106.74.156.36-cdnaliyunv.zhongye.net.m.alikunlun.com
61,131,106.74.156.36,clientapi.wasu.cn.w.kunlungr.com,43,106.74.156.36-clientapi.wasu.cn.w.kunlungr.com
61,132,106.74.156.36,cnlive3.videocc.net.w.kunlunhuf.com,25,106.74.156.36-cnlive3.videocc.net.w.kunlunhuf.com
61,133,106.74.156.36,d.amigo.cn.w.kunlunea.com,26,106.74.156.36-d.amigo.cn.w.kunlunea.com
61,134,106.74.156.36,dl.chuangcache.com.b.aocde.com,35,106.74.156.36-dl.chuangcache.com.b.aocde.com
61,135,106.74.156.36,dm.mianwai.com.m.alikunlun.com,19,106.74.156.36-dm.mianwai.com.m.alikunlun.com
61,136,106.74.156.36,downali.game.uc.cn.w.alikunlun.com,42,106.74.156.36-downali.game.uc.cn.w.alikunlun.com
61,137,106.74.156.36,ebkcnc.res.meizu.com.m.alikunlun.com,28,106.74.156.36-ebkcnc.res.meizu.com.m.alikunlun.com
61,138,106.74.156.36,ep-s3.bytecdn.cn.w.kunlunpi.com,49,106.74.156.36-ep-s3.bytecdn.cn.w.kunlunpi.com
61,139,106.74.156.36,gdl.25pp.com.danuoyi.tbcache.com,39,106.74.156.36-gdl.25pp.com.danuoyi.tbcache.com
61,140,106.74.156.36,guoguanglive01ali.otvcloud.com.w.alikunlun.com,8,106.74.156.36-guoguanglive01ali.otvcloud.com.w.alikunlun.com
61,141,106.74.156.36,hudong.vip.youku.com.danuoyi.alicdn.com,45,106.74.156.36-hudong.vip.youku.com.danuoyi.alicdn.com
61,142,106.74.156.36,i.qingting.fm.m.alikunlun.com,29,106.74.156.36-i.qingting.fm.m.alikunlun.com
61,143,106.74.156.36,i3.mzres.com.w.kunlunpi.com,44,106.74.156.36-i3.mzres.com.w.kunlunpi.com
61,144,106.74.156.36,image-res.mzres.com.w.kunlunhuf.com,44,106.74.156.36-image-res.mzres.com.w.kunlunhuf.com
61,145,106.74.156.36,image.res.meizu.com.w.alikunlun.com,29,106.74.156.36-image.res.meizu.com.w.alikunlun.com
61,146,106.74.156.36,image.uc.cn.w.alikunlun.com,51,106.74.156.36-image.uc.cn.w.alikunlun.com
61,147,106.74.156.36,image.uczzd.cn.danuoyi.tbcache.com,51,106.74.156.36-image.uczzd.cn.danuoyi.tbcache.com
61,148,106.74.156.36,image1.pearvideo.com.w.kunlunar.com,35,106.74.156.36-image1.pearvideo.com.w.kunlunar.com
61,149,106.74.156.36,image8.rayliimg.cn.w.kunlunpi.com,30,106.74.156.36-image8.rayliimg.cn.w.kunlunpi.com
61,150,106.74.156.36,images.rayli.com.cn.w.kunlunca.com,30,106.74.156.36-images.rayli.com.cn.w.kunlunca.com
61,151,106.74.156.36,img-ys011.didistatic.com.w.kunlunhuf.com,25,106.74.156.36-img-ys011.didistatic.com.w.kunlunhuf.com
61,152,106.74.156.36,img.car.mianfeiapp.net.m.alikunlun.com,26,106.74.156.36-img.car.mianfeiapp.net.m.alikunlun.com
61,153,106.74.156.36,img.kezool.com.m.alikunlun.com,26,106.74.156.36-img.kezool.com.m.alikunlun.com
61,154,106.74.156.36,img.mianfeiapp.net.m.alikunlun.com,18,106.74.156.36-img.mianfeiapp.net.m.alikunlun.com
61,155,106.74.156.36,img.momocdn.com.w.alikunlun.com,54,106.74.156.36-img.momocdn.com.w.alikunlun.com
61,156,106.74.156.36,img.sys.hudongba.com.m.alikunlun.com,28,106.74.156.36-img.sys.hudongba.com.m.alikunlun.com
61,157,106.74.156.36,img.xiami.net.danuoyi.tbcache.com,49,106.74.156.36-img.xiami.net.danuoyi.tbcache.com
61,158,106.74.156.36,img3.doubanio.com.w.alikunlun.com,51,106.74.156.36-img3.doubanio.com.w.alikunlun.com
61,159,106.74.156.36,live-api.alivecdn.com.w.alikunlun.com,29,106.74.156.36-live-api.alivecdn.com.w.alikunlun.com
61,160,106.74.156.36,live.wasu.cn.w.kunlunle.com,41,106.74.156.36-live.wasu.cn.w.kunlunle.com
61,161,106.74.156.36,m4a.inke.cn.w.kunlunea.com,29,106.74.156.36-m4a.inke.cn.w.kunlunea.com
61,162,106.74.156.36,mapdownload.autonavi.com.danuoyi.tbcache.com,49,106.74.156.36-mapdownload.autonavi.com.danuoyi.tbcache.com
61,163,106.74.156.36,d.tclapp.huan.tv.w.alikunlun.com,17,106.74.156.36-d.tclapp.huan.tv.w.alikunlun.com
61,164,106.74.156.36,gjxz.ucweb.com.danuoyi.tbcache.com,33,106.74.156.36-gjxz.ucweb.com.danuoyi.tbcache.com
61,165,106.74.156.36,i2.bbobo.com.m.alikunlun.com,19,106.74.156.36-i2.bbobo.com.m.alikunlun.com
61,166,106.74.156.36,www.1919.cn.m.alikunlun.com,14,106.74.156.36-www.1919.cn.m.alikunlun.com
61,167,106.74.156.36,static-huzhu.qschou.com.m.alikunlun.com,17,106.74.156.36-static-huzhu.qschou.com.m.alikunlun.com
61,168,106.74.156.36,ppjumper.huimai123.com.m.alikunlun.com,18,106.74.156.36-ppjumper.huimai123.com.m.alikunlun.com
61,169,106.74.156.36,pic1.vqs.com.m.alikunlun.com,22,106.74.156.36-pic1.vqs.com.m.alikunlun.com
61,170,106.74.156.36,o2o-static.wecash.net.m.alikunlun.com,13,106.74.156.36-o2o-static.wecash.net.m.alikunlun.com
61,171,106.74.156.36,mini.cadillac.com.cn.w.kunlunar.com,23,106.74.156.36-mini.cadillac.com.cn.w.kunlunar.com
61,172,106.74.156.36,a1-q.mafengwo.net.w.kunlunar.com,34,106.74.156.36-a1-q.mafengwo.net.w.kunlunar.com
61,173,106.74.156.36,a3-q.mafengwo.net.w.kunlunar.com,25,106.74.156.36-a3-q.mafengwo.net.w.kunlunar.com
61,174,106.74.156.36,adsystem.wasu.tv.w.kunlunle.com,43,106.74.156.36-adsystem.wasu.tv.w.kunlunle.com
61,175,106.74.156.36,alicdn.hortor.net.m.alikunlun.com,22,106.74.156.36-alicdn.hortor.net.m.alikunlun.com
61,176,106.74.156.36,assets.xiaojukeji.com.m.alikunlun.com,19,106.74.156.36-assets.xiaojukeji.com.m.alikunlun.com
61,177,106.74.156.36,xunniu.c01.live.aliyuncdn.readtv.cn.w.kunlunea.com,8,106.74.156.36-xunniu.c01.live.aliyuncdn.readtv.cn.w.kunlunea.com
61,178,106.74.156.36,www.gaore.com.m.alikunlun.com,15,106.74.156.36-www.gaore.com.m.alikunlun.com
61,179,106.74.156.36,www.baozun.com.m.alikunlun.com,10,106.74.156.36-www.baozun.com.m.alikunlun.com
61,180,106.74.156.36,w10.hoopchina.com.cn.w.kunlungr.com,17,106.74.156.36-w10.hoopchina.com.cn.w.kunlungr.com
61,181,106.74.156.36,v3b.pstatp.com.w.kunlunle.com,39,106.74.156.36-v3b.pstatp.com.w.kunlunle.com
61,182,106.74.156.36,v3a.pstatp.com.w.kunlunpi.com,42,106.74.156.36-v3a.pstatp.com.w.kunlunpi.com
61,183,106.74.156.36,t004.vod01.icntvcdn.com.w.kunlunca.com,10,106.74.156.36-t004.vod01.icntvcdn.com.w.kunlunca.com
61,184,106.74.156.36,saturn.image.mucang.cn.m.alikunlun.com,18,106.74.156.36-saturn.image.mucang.cn.m.alikunlun.com
61,185,106.74.156.36,s1.hdslb.com.w.kunlunar.com,15,106.74.156.36-s1.hdslb.com.w.kunlunar.com
61,186,106.74.156.36,piccdn.luojilab.com.w.kunlunhuf.com,29,106.74.156.36-piccdn.luojilab.com.w.kunlunhuf.com
61,187,106.74.156.36,pic.vqs.com.m.alikunlun.com,17,106.74.156.36-pic.vqs.com.m.alikunlun.com
61,188,106.74.156.36,oss.ucdl.pp.uc.cn.danuoyi.tbcache.com,23,106.74.156.36-oss.ucdl.pp.uc.cn.danuoyi.tbcache.com
61,189,106.74.156.36,js2.tuandai.com.m.alikunlun.com,12,106.74.156.36-js2.tuandai.com.m.alikunlun.com
61,190,106.74.156.36,img.immocha.com.w.kunlunhuf.com,9,106.74.156.36-img.immocha.com.w.kunlunhuf.com
61,191,106.74.156.36,i3.hoopchina.com.cn.w.kunlunle.com,17,106.74.156.36-i3.hoopchina.com.cn.w.kunlunle.com
61,192,106.74.156.36,i3.hdslb.com.w.kunlunpi.com,16,106.74.156.36-i3.hdslb.com.w.kunlunpi.com
61,193,106.74.156.36,i2.hoopchina.com.cn.w.kunlunle.com,17,106.74.156.36-i2.hoopchina.com.cn.w.kunlunle.com
61,194,106.74.156.36,i1.hoopchina.com.cn.w.kunlunle.com,17,106.74.156.36-i1.hoopchina.com.cn.w.kunlunle.com
61,195,106.74.156.36,i0.hdslb.com.w.kunlunno.com,17,106.74.156.36-i0.hdslb.com.w.kunlunno.com
61,196,106.74.156.36,d.tclupgapp.huan.tv.m.alikunlun.com,18,106.74.156.36-d.tclupgapp.huan.tv.m.alikunlun.com
61,197,106.74.156.36,client2.kuaile-u.com.m.alikunlun.com,20,106.74.156.36-client2.kuaile-u.com.m.alikunlun.com
61,198,106.74.156.36,b1.hoopchina.com.cn.w.kunlunle.com,17,106.74.156.36-b1.hoopchina.com.cn.w.kunlunle.com
61,199,106.74.156.36,api-live.myzaker.com.w.kunlunar.com,23,106.74.156.36-api-live.myzaker.com.w.kunlunar.com
61,200,106.74.156.36,gs.cantv.lunbocl.ott.cibntv.net.w.kunlunea.com,4,106.74.156.36-gs.cantv.lunbocl.ott.cibntv.net.w.kunlunea.com
61,201,106.74.156.36,gs.cibnxiaowei.ds.lunbocl.ott.cibntv.net.w.alikunlun.net,4,106.74.156.36-gs.cibnxiaowei.ds.lunbocl.ott.cibntv.net.w.alikunlun.net
61,202,106.74.156.36,gs.gqys.lunbocl.ott.cibntv.net.w.alikunlun.net,5,106.74.156.36-gs.gqys.lunbocl.ott.cibntv.net.w.alikunlun.net
61,203,106.74.156.36,gs.gqys01.lunbocl.ott.cibntv.net.w.alikunlun.net,3,106.74.156.36-gs.gqys01.lunbocl.ott.cibntv.net.w.alikunlun.net
61,204,106.74.156.36,gs.moli.lunbocl.ott.cibntv.net.w.alikunlun.net,2,106.74.156.36-gs.moli.lunbocl.ott.cibntv.net.w.alikunlun.net
61,205,106.74.156.36,gs.moli01.lunbocl.ott.cibntv.net.w.alikunlun.net,2,106.74.156.36-gs.moli01.lunbocl.ott.cibntv.net.w.alikunlun.net
61,206,106.74.156.36,png.127xx.com.m.alikunlun.com,10,106.74.156.36-png.127xx.com.m.alikunlun.com
61,207,106.74.156.36,img.ucweb.com.w.alikunlun.net,16,106.74.156.36-img.ucweb.com.w.alikunlun.net
61,208,106.74.156.36,all.bjbszs.cn.m.alikunlun.com,2,106.74.156.36-all.bjbszs.cn.m.alikunlun.com
61,209,106.74.156.36,play.wasu.cn.w.kunlungr.com,15,106.74.156.36-play.wasu.cn.w.kunlungr.com
61,210,106.74.156.36,s-cms.wasu.tv.w.kunlungr.com,15,106.74.156.36-s-cms.wasu.tv.w.kunlungr.com
61,211,106.74.156.36,vd.zhongyewx.com.w.kunlunea.com,6,106.74.156.36-vd.zhongyewx.com.w.kunlunea.com
61,212,106.74.156.36,static.lygou.cc.m.alikunlun.com,7,106.74.156.36-static.lygou.cc.m.alikunlun.com
61,213,106.74.156.36,appyx.mytm88.com.m.alikunlun.com,6,106.74.156.36-appyx.mytm88.com.m.alikunlun.com
61,214,106.74.156.36,cdn.v.zhongyewx.com.w.alikunlun.net,17,106.74.156.36-cdn.v.zhongyewx.com.w.alikunlun.net
61,215,106.74.156.36,s1.tuchong.com.w.kunlunle.com,22,106.74.156.36-s1.tuchong.com.w.kunlunle.com
